Prefix of Website,Course Code,Course Name,Course Description,Prereq,Antireq,Coreq
ACTSC,ACTSC462,Introduction to Property and Casualty Pricing,"An introduction to property/casualty rate making. The economics of insurance. The ratemaking process. Individual risk rating. Reinsurance, expense issues. Pricing for deductibles and increased limits.",Prereq: AFM 272/ACTSC 291 or ACTSC 231; Actuarial Science or Mathematical Finance students only., Antireq: ACTSC 363,None
ACTSC,ACTSC463,Introduction to Property and Casualty Loss Reserving,An introduction to property/casualty loss reserving techniques. Claim payment process. Chain-ladder methods. Stochastic models.,"Prereq: (AFM 272/ACTSC 291 or ACTSC 231), (STAT 331 or 371 or 373); Actuarial Science or Mathematical Finance students only.", Antireq: ACTSC 363, Coreq: ACTSC 431.
ACTSC,ACTSC468,Readings in Actuarial Science 1,Reading course as announced by the department.,Prereq: Actuarial Science or Mathematical Finance students only,None,None
ACTSC,ACTSC469,Readings in Actuarial Science 2,Reading course as announced by the department.,Prereq: Actuarial Science or Mathematical Finance students only,None,None
ACTSC,ACTSC471,Advanced Corporate Finance,"This course covers various advanced topics in corporate finance, with emphasis on theories of corporate incentives and asymmetric information. Illustrative applications using cases are provided.","Prereq: AFM 372/ACTSC 391 or ACTSC 372; Comp & Financial Management, Actuarial Science, Math/CPA, Math/Financial Analysis & Risk Mgmt Chartered Financial Analyst, or Mathematical Finance.", Antireq: AFM 373,None
AE,AE100,Concepts Studio,"An introduction to the fundamental engineering methods, principles and skills, design and communication in architectural engineering. Scale models of historically significant buildings, bridges, and towers will be hand built and hand drawn. Simple design projects will be used to develop and understand the design process and construction drawings and specifications. Introduction to computer analysis tools (Excel, Matlab) and the profession. [Offered: F]",Prereq: 1A Architectural Engineering,None,None
AE,AE101,History of the Built Environment,"A complementary studies course that provides a broad history of technology as it relates to buildings, towers, bridges, etc. Social, cultural, and economic influences on technological products will be discussed while surveying icons of architectural engineering. [Offered: F]",Prereq: 1A Architectural Engineering,None,None
AE,AE104,Mechanics 1,"Newtonian mechanics. Force systems; vectors, forces, and moments; equilibrium and free body diagrams. Mechanics of simple structures. [Offered: F]","Prereq: 1A Architectural, Civil, Environmental, or Geological Engineering."," Antireq: CIVE 104, PHYS 115",None
AE,AE105,Mechanics 2,"Distributed forces, centroids, and moment of inertia. Introduction to foundations and fluid statics. Basic structural analysis. Plane trusses. Beam diagrams. Stress-strain-temperature relationships. Behaviour of members in tension, compression, and bending. Thin-walled pressure vessels. Friction. [Offered: S]","Prereq: AE 104; Level at least 1B Architectural, Civil, Environmental, or Geological Engineering.", Antireq: CIVE 105,None
AE,AE115,Linear Algebra,"Linear systems of equations, matrices, and determinants. Introduction to the eigenvalue problem. Applications. [Offered: F]","Prereq: 1A Architectural, Civil, Environmental, or Geological Engineering."," Antireq: CIVE 115, MATH 114, 115, 125, 136, 146",None
AE,AE121,Computational Methods,"Introduction to computer programming, examples of efficient numerical algorithms for basic scientific computations. Programming and problem-solving concepts introduced in the course will be incorporated into projects involving architectural engineering applications. The language of instruction will be Matlab. [Offered: S]","Prereq: Level at least 1B Architectural, Civil, Environmental, or Geological Engineering."," Antireq: BME 121, CHE 121, CIVE 121, ECE 150, GENE 121, SYDE 121",None
AE,AE125,Architectural Graphics Studio,"Basic hand- and computer-sketching techniques, perspective, isometrics, presentation graphics, working drawings, and contract documents. Exposure to computer-based drafting, rendering, and solid modelling tools. Drawing as a design and analysis (sun shading, structural forces) tool. [Offered: S]",Prereq: AE 100; Level at least 1B Architectural Engineering,None,None
AE,AE200,Structural Design Studio,"Development of design and communication skills through application in projects involving various building/bridge types. Emphasis placed upon issues of materiality and technology in structural and building design. Form finding, model building. [Offered: W, first offered Winter 2020]",Prereq: AE 125; Level at least 2A Architectural Engineering,None,None
AE,AE204,Solid Mechanics 1,"Three-dimensional force systems, moments, couples, and resultants. Three-dimensional equilibrium problems. Shear stresses in beams. Plastic bending. Beam deflection. Torsion of shafts and thin-walled closed sections. Shear, bending moment, and deflection diagrams for beams. Compound stress and stress transformations. Design concepts. [Offered: W, first offered Winter 2020]","Prereq: AE 105; Level at least 2A Architectural or Civil Engineering, or Level at least 2B Geological Engineering.", Antireq: CIVE 204,None
AE,AE205,Solid Mechanics 2,"Frames, arches, and suspended structures. Stress and strain transformations. Strain energy. Energy methods. Virtual work. Buckling of columns. [Offered: F, first offered Fall 2020]","Prereq: AE 204, 221; Level at least 2B Architectural or Civil Engineering, or Level at least 3A Geological Engineering.", Antireq: CIVE 205,None
AE,AE221,Advanced Calculus,"Calculus of functions of several variables. Differentiation: partial derivatives of implicit and explicit functions, applications including optimizations. Integration: multiple integrals in various co-ordinate systems with applications; Vector calculus: vector fields, line integrals, surface integrals, and applications. Numerical integration and differentiation. [Offered: W, first offered Winter 2020]","Prereq: MATH 118; Level at least 2A Architectural, Civil, or Geological Engineering."," Antireq: CIVE 221, ENVE 221, MATH 217",None
AE,AE223,Differential Equations and Balance Laws,"An introduction to ordinary differential equations with applications to mass and energy balance problems in engineering. Standard methods of solution of first and second order linear equations with constant coefficients. Numerical methods for solving ordinary differential equations. Partial differential equations. [Offered: F, first offered Fall 2020]","Prereq: AE 221; Level at least 2A Architectural, Environmental, or Geological Engineering."," Antireq: CIVE 222, MATH 218",None
AE,AE224,Probability and Statistics,"Role of probability in architectural engineering and decision-making under uncertainty. Basic probability concepts. Probability distributions. Functions of random variables. Data analysis. Confidence intervals and hypothesis testing. Introduction to regression analysis. Introduction to design of experiments and statistical quality control. [Offered: W, first offered Winter 2020]",Prereq: MATH 116; Level at least 2A Architectural or Civil Engineering.," Antireq: CIVE 224, ENVE 224",None
AE,AE225,Environmental Building Studio,"Environmental performance of buildings studied via physical investigations, demonstrations, case studies, design exercises. Relative roles of structure, enclosure, mechanical systems, embodied energy, life-cycle implications investigated. [Offered: F, first offered Fall 2020]",Prereq: AE 200; Level at least 2B Architectural Engineering,None,None
AE,AE265,Structure and Properties of Materials,"A basic course in structure, behaviour, and uses of engineering materials. Topics include monotonic and cyclic stress-strain behaviour of metals, and the mechanical properties of irons, steels, copper, and aluminum. Structure and mechanical properties of wood, masonry, cements, concrete, polymers, and fiber-reinforced polymers. Fracture, fatigue, corrosion, decay, moisture, and radiation damage functions. ","Prereq: Level at least 2A Civil, Environmental, or Geological Engineering, or level at least 2B Architectural Engineering.", Antireq: CIVE 265,None
AE,AE279,Energy and the Environment,"Conservation of energy, energy balances on closed systems. Steady-state and transient heat transfer via convection, radiation, and conduction. Mechanical and electrical work. Internal energy, enthalpy, and specific heats of solids, liquids, and gases. Phase change in natural environmental systems; the basics of heat engines, refrigerators, and heat pumps. Function, evaluation, and design of energy resource technology: wind and hydroelectric turbines, photovoltaics, geothermal energy, biomass and biofuel, natural gas and petroleum extraction, and tidal energy. Renewable energy policy and implications. [Offered: S, first offered Spring 2021]","Prereq: Level at least 2B Architectural, Civil, Environmental, or Geological Engineering."," Antireq: BME 384, CHE 330, ECE 309/MTE 309, ENVE 279, ME 250, SYDE 381",None
AE,AE280,Fluid Mechanics and Thermal Sciences,"An introduction to fluid mechanics and thermal sciences. Fluid properties. Fluid statics. Bernoulli equation. The momentum equation and applications. Laminar and turbulent flow. Dimensionless numbers. Closed conduit flow. Pipe network analysis. Steady flow in pipes. First and second laws of thermodynamics will be introduced, enthalpy, entropy, exergy, and forms of energy. Heat storage and transfer. ","Prereq: CIVE 105, 221; Level at least 2A Architectural or Civil Engineering."," Antireq: CIVE 280, ENVE 280",None
AE,AE300,Architectural Engineering Studio,"Comprehensive design project of building or bridge in collaboration with the School of Architecture. Integration of structure, systems, and architecture explored with case studies. Preparation of construction drawings and specifications. [Offered: S, first offered Spring 2021]",Prereq: AE 225; Level at least 3A Architectural Engineering,None,None
AE,AE301,Building Enclosure Systems,"A review of the functions of the building enclosure, and materials, systems and sub-systems used in modern building construction of new and retrofit of existing buildings. Interaction of the enclosure, mechanical systems, and structure, the importance of construction process and quality control, as well as the implications to sustainability will be considered. [Offered: W, first offered Winter 2022]",Prereq: AE 300,None,None
AE,AE303,Structural Analysis 1,"Analysis of statically indeterminate structures using force and displacement methods. Influence lines for determinate and indeterminate structures. Introduction to the matrix stiffness method. Computer applications using commercial structural analysis software. [Offered: S, first offered Spring 2021]","Prereq: AE 205; Level at least 3A Architectural, Civil, or Geological Engineering.", Antireq: CIVE 303,None
AE,AE310,Introduction to Structural Design,"Introduction to structural systems. Systems for carrying gravity and lateral loads in buildings. Structural design concepts. Analysis and design of concrete beams and one-way slabs. Design of steel beams and tension members. Comparison of steel and concrete framing systems. [Offered: W, first offered Winter 2022]","Prereq: AE 303; Level at least 3B Architectural, Civil, or Geological Engineering.", Antireq: CIVE 310,None
AE,AE315,Building Structural Systems,"A review of different structural systems and materials with a focus on constructability, sustainability, economy, and performance. Concrete, steel, wood, masonry, and polymer materials, as well as framed, hybrid, shear wall, cable stayed, tension, and inflatable systems will be covered. The selection of systems as a function of occupancy, scale, labour, economy, geography, and climate will be introduced. [Offered: W, first offered Winter 2022]",Prereq: AE 200,None,None
AE,AE325,Project 1 Studio,"Students undertake a group architectural engineering design project over two terms of their program. The purpose of the project is to demonstrate students' abilities to practise in their chosen area of expertise, using knowledge gained from their academic and employment experiences. Projects integrate all relevant aspects (e.g., structure, constructability, mechanical and enclosure) within appropriate defined social, economic, environmental, political, and technical constraints. [Offered: W, first offered Winter 2022]",Prereq: AE 300; Level at least 3B Architectural Engineering,None,None
AE,AE353,Soil Mechanics and Foundations,"An introduction to soil mechanics principles including state of stress, ground water flow, consolidation and shear strength. An introduction to design of shallow and deep foundations. Earth pressure theories and design of retaining walls. [Offered: S, first offered Spring 2021]",Prereq: Level at least 3A Architectural Engineering,None,None
AE,AE392,Economics and Life Cycle Analysis,"Project financing, life-cycle analysis, time value of money, sensitivity analyses, tax, financial implications of infrastructure projects, quantitative decision-making, and financial aspects of a business plan. [Offered: W, first offered Winter 2022]","Prereq: MATH 116; Level at least 2B Civil Engineering, 3A Environmental or Geological Engineering, or 3B Architectural Engineering."," Antireq: CIVE 392, MSCI 261",None
AE,AE400,Project 2 Studio,"Completion of the project defined and initiated in AE 325. Complete oral presentation, written and graphics deliverables. [Offered: S, first offered Spring 2022]",Prereq: AE 325; Level at least 4A Architectural Engineering,None,None
AE,AE405,Building Performance Measurement Lab,"Introduction to the techniques and utility of measuring building performance both during construction, during operation, and before retrofit. Stiffness, vibration, rain penetration, air leakage, heat flow, durability, solar control, acoustics, lighting, damage assessment, and energy consumption. [Offered: S, first offered Spring 2022]",Prereq: AE 280,None,None
AE,AE425,Project 3 Studio,"A comprehensive individual design project of building, bridge, tower, etc. with a defined focus on a specific building system: mechanical, structural, enclosure, architectural. Research of precedents and the state of technology will be part of this. Complete oral presentation, written report, and graphics deliverables. [Offered: W, first offered Winter 2023]",Prereq: AE 400; 4B Architectural Engineering,None,None
AE,AE450,Building Service Systems,"Heating, ventilating, cooling, filtration, plumbing, lighting, transport, data transmission, security, control, and life safety systems in buildings will be studied, in terms of function, performance, economics, construction, renovation, regulation, and sustainability. The interaction of systems, especially the environmental control systems, with the enclosures and structural systems in design and construction will be specifically considered. [Offered: S, first offered Spring 2022]",Prereq: AE 279,None,None
AE,AE491,Engineering Law and Ethics,"Background (Charter of Rights and Freedoms), contracts, torts (negligent malpractice), forms of carrying on business, professional practice (Professional Engineers Act, joint practice rules, professional misconduct and sexual harassment), alternate dispute resolution, construction liens, intellectual property (patents, trade marks, copyrights and industrial designs), labour relations and employment law, Environmental Law. [Offered: S, first offered Spring 2022]",Prereq: Level at least 4A Architectural Engineering., Antireq: CIVE 491,None
AFM,AFM100,Introduction to Experiential Learning,"The objective of this non-credit course is to expose students to the expectations for experiential learning, helping them develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.","Prereq: First-year Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Accountancy students only",None,None
AFM,AFM101,Introduction to Financial Accounting,"This course is an introduction to financial accounting. The preparation and use of financial statements is examined. The accounting cycle, assets and liabilities reporting, is discussed.","Prereq: Not open to students in Arts and Business, Environment and Business, Science and Business or Human Resources Management."," Antireq: AFM 123/ARBUS 102, BUS 127W/227W, MSCI 262",None
AFM,AFM102,Introduction to Managerial Accounting,"This course is an introduction to the preparation and use of accounting information for management decision-making and reporting. Cost behaviour, cost accumulation systems and short and long-term decision models are discussed.",Prereq: AFM 101 or BUS 127W/227W.," Antireq: AFM 123/ARBUS 102, BUS 247W, MSCI 262",None
AFM,AFM121,Introduction to Global Financial Markets,This course describes the role of finance in the modern global economy and introduces some basic principles of financial decision-making.,Prereq: Accounting and Financial Management or Computing and Financial Management students only,None,None
AFM,AFM123,Accounting Information for Managers,"This course is designed for non-accountants who will use accounting information for planning, control, and decision making.","Prereq: Arts & Business, Environment & Business, Sci & Business, Hon Rec & Leisure Studies, Hon Rec & Business, Hon Biotechnology/Economics, Human Resources Management, or Management Studies stdnts."," Antireq: AFM 101,102,121, BUS 127W/227W,247W, MSCI 262",None
AFM,AFM131,Introduction to Business in North America,"The functional areas of business: finance, personnel administration, production, marketing, and accounting are examined within differing organizational structures. Coverage also includes study of the principles of effective management and the financial system as a source of corporate capital.",Prereq: Not open to Honours Arts and Business students., Antireq: BUS 111W,None
AFM,AFM200,Continuation of Experiential Learning,"The objective of this non-credit course is to continue to expose student to the expectations for experiential learning, and helping them to continue to develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.","Prereq: AFM 100; second-year Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Accountancy students only",None,None
AFM,AFM201,Introduction to Professional Practice,This course discusses auditing and taxation concepts as they relate to professional accounting and management.,"Prereq: AFM 101; Accounting and Financial Management, Computing and Financial Management, Mathematics/Chartered Professional Accountancy or Biotechnology/Chartered Accountancy students only.",None,None
AFM,AFM202,Introduction to Public Practice,"This course focuses on the knowledge and skills that enhance experiential learning during a first co-op work term. Topic areas include professional ethics, assurance, taxation, and leveraging technology for assurance and taxation competencies.","Prereq: AFM 101; Level 2A or 3A; Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students only.", Antireq: AFM 201,None
AFM,AFM203,Introduction to Decision Support,"This course focuses on the knowledge and skills that enhance experiential learning during a first co-op work term while performing a decision support role within a public or private sector organization. Topic areas include professional ethics, performance analysis, corporate finance, and leveraging technology for performance analysis and corporate finance competencies.","Prereq: AFM 101; Level 2A or 3A; Accounting and Financial Management students, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students only."," Antireq: AFM 201, 204",None
AFM,AFM204,Introduction to Applied Finance,"This course focuses on the basic knowledge and skills required for employment in the finance area during the first co-op work term. The course covers topics such as an overview of the financial services industry, the role of treasury management within organizations, professional ethics, and problem-solving skills that are applicable to financial decisions.",Prereq: AFM 121; Level 2A or 3A; Accounting and Financial Management students.," Antireq: AFM 201, 203", Coreq: AFM 273.
AFM,AFM211,Connections to Business Context,"This course focuses on developing the qualities and transferable skills necessary for integration, continuous learning, and professional development. The course integrates an understanding of business, basic functional competencies, leadership, collaboration, and communication skills to address a range of business decisions.","Prereq: AFM 101, 131, SPCOM 111; Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students",None,None
AFM,AFM231,Business Law,"Particular attention is given to the law relating to contracts and business organizations. Other areas of study include sources of law, the judicial process, real and personal property, torts, agency, credit, and negotiable instruments.",ERROR!!!,"Antireq: MTHEL 100/COMM 231, BUS 231W, CIVE 491, GENE 411, ME 401; (Faculty of Mathematics) ENVS 201",None
AFM,AFM241,Introduction to Business Information Technology,"This course considers various aspects of information from a business and problem-solving perspective. It is intended to provide a basic foundation for understanding the potential benefits and problems in utilizing information technology to improve business performance, and an appreciation for a wide range of technology choices available, rather than a detailed understanding of any particular hardware or software technology.","Prereq: AFM 102; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy students."," Antireq: CS 330, 480/490",None
AFM,AFM272,Corporate Finance 1,"This is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include time value of money, capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, short term finance, and risk management. Where suitable, topics are treated from a mathematical and quantitative perspective.","Prereq:One of MATH 128,138,148;MATH 136 or 146;Accounting & Fin Mgmt,Computing & Fin Mgmt, Math/CPA or Biotech/CPA students."," Antireq:AFM 273,ACTSC 371,ECON 371", Coreq: STAT 231 or 241.
AFM,AFM273,Managerial Finance 1,"This is the first in a two-course sequence that introduces the theory of financial decision-making within firms. Topics include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, short term finance, and risk management, among others.",Prereq: STAT 211; Accounting and Financial Management or Biotechnology/Chartered Professional Accountancy students.," Antireq: AFM 272/ACTSC 291, ECON 371",None
AFM,AFM274,Managerial Finance 2,This course is a continuation of AFM 273. Topics to be explored are covered under the listing for AFM 273.,"Prereq: AFM 273; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy or Mathematics/Chartered Professional Accountancy students."," Antireq: ACTSC 372, ACTSC 391/AFM 372, ECON 371",None
AFM,AFM280,Introduction to Organizational Behaviour,"An introduction to the concepts concerning the behaviour of individuals and groups in organizations. Topics may include motivation, influence, communication, diversity, goal-setting and incentive compensation, culture and ethical systems, and decision-making.","Prereq: Accounting and Financial Management, Computing and Financial Management, or Mathematics/Chartered Professional Accountancy students."," Antireq: MSCI 211, PSYCH 238/338",None
AFM,AFM291,Intermediate Financial Accounting 1,A first course in intermediate accounting dealing with the theory and practice of financial statement preparation and reporting. The emphasis will be on asset valuation and the related impact on income measurement.,"Prereq: AFM 101; Accounting and Financial Management, Computing and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy",None,None
AFM,AFM311,Connections to Ethical Context,"This course focuses on developing the qualities and transferable skills necessary for integration, continuous learning, and professional development. The course is oriented around the ethical and moral issues faced by accounting and finance professionals.",Prereq: AFM 211.," Antireq: AFM 431, PHIL 215/ARBUS202",None
AFM,AFM321,Personal Financial Planning,"This course covers financial planning for individual investors, with particular emphasis on taxation and other institutional aspects governing decisions such as retirement savings, education savings, and estate planning.",ERROR!!!,ERROR!!!,"Coreq: One of AFM 274, AFM 372/ACTSC 391, ACTSC 372, ECON 371"
AFM,AFM322,Derivative Securities,"Introduction to valuation and applications of financial derivatives such as options, futures, forwards, and swaps.",Prereq: AFM 274/371 or AFM 372/ACTSC 391.," Antireq: ACTSC 446, ECON 372, MATBUS 470, STAT 446",None
AFM,AFM323,Quantitative Foundations for Finance,"This course introduces analytical and statistical methods commonly used in finance, with applications to investment management and corporate finance.",Prereq: AFM 274/371.," Antireq: ECON 321, STAT 373",None
AFM,AFM328,Investment Management - Junior Analyst,"This course provides students hands-on training in equity valuation and enables students to follow one industry sector. As a junior analyst, a student will understand why funds management is broken into different sectors, monitor existing equity holdings in a particular sector, make new equity selections in the sector, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.","Prereq: Accounting and Financial Management, Computing and Financial
Management, Mathematics/Chartered Professional Accountancy, and
Biotechnology/Chartered Professional Accountancy students.",None," Coreq: AFM
274 or AFM 372/ACTSC 391"
AFM,AFM329,Investment Management - Senior Analyst,"This course provides students hands-on training in equity valuation and enables students to follow more than one industry sector. As a senior analyst, a student will monitor existing equity holdings in different sectors, make new equity selections in the sectors, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.","Prereq: AFM 274 or AFM 372/ACTSC 391; Accounting and Financial Management,
Computing and Financial Management, Mathematics/Chartered Professional
Accountancy, or Biotechnology/Chartered Professional Accountancy students",None,None
AFM,AFM332,"Accounting, Assurance, and the Law","This course examines the inter-relationship between legal and accounting environments. Students will be introduced to concepts of corporate governance and malfeasance and will examine a range of issues including the relationship between accounting and internal control, the roles of internal and external audits, and the regulatory environment of business including the obligations of boards, officers, managers, and shareholders.","Prereq: (AFM 101, 102) or AFM 123; AFM 231/LS 283; Not open to students in Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, Biotechnology/Chartered Professional Accountancy.",None,None
AFM,AFM333,International Business,"This course examines the opportunities, risks, and challenges faced by businesses in international markets, as well as the preparation required to operate them.",Prereq: AFM 131/ARBUS 101; Level at least 3A,None,None
AFM,AFM341,Accounting Information Systems,"Examines the planning, requirements analysis, acquisition, and evaluation of information systems, with an emphasis on accounting information systems. Introduces information systems assurance concepts, and considers the role of information technology in the improvement of business performance.","Prereq: Accounting and Financial Management, Mathematics/Chartered Professional Accountancy or Biotechnology/Chartered Professional Accountancy students.", Antireq: CS 432,None
AFM,AFM344,Introduction to Business Analytics,This course introduces students to business analytics with a focus on problems that accounting and finance professionals face in the real world.,"Prereq: One of ECON 221, STAT 211, 231, 241; AFM 241 or CS 330; Accounting and Financial Management, Mathematics/CPA, or Biotechnology/CPA students."," Antireq: AFM 417 taken S14, S15, S16, W16",None
AFM,AFM351,Audit Strategy,"An examination of elements of audit strategy and their interrelationships, including financial assertions, types and sources of audit assurance, and evidence-gathering procedures within a framework of professional judgment.","Prereq: AFM 391; Accounting and Financial Management, Computing and Financial Management, Biotechnology/Chartered Professional Accountancy, or Mathematics/Chartered Professional Accountancy students",None,None
